15um				
/Hugo/2014/07012014/Gate Freq swp a			Power=100dBm	
	0V		20V	
f	Amp	Phase	Amp	Phase
5281370000	-81.57243	-125.982788	-81.3509245	-116.094272
5281380000	-81.4969312	-122.718921	-81.6412383	-123.844477
5281390000	-81.3837076	-121.201664	-82.1055883	-116.209442
5281400000	-80.4770814	-118.861636	-81.6851318	-121.69296
5281410000	-81.4461967	-120.449226	-80.9378808	-116.812556
5281420000	-81.7985173	-123.981314	-81.4225967	-119.704623
5281430000	-81.4575531	-119.463073	-81.2086522	-116.207049
5281440000	-80.6143876	-117.589717	-82.4630078	-118.721044
5281450000	-80.3393565	-121.536825	-80.8964918	-114.465892
5281460000	-81.2730672	-119.151591	-82.1540541	-121.786739
5281470000	-81.0057045	-126.753576	-80.9826048	-110.884253
5281480000	-80.5846277	-116.923158	-81.0825303	-110.679931
5281490000	-81.5822213	-120.935004	-81.0097875	-116.382902
5281500000	-80.9057473	-112.872697	-80.9578504	-113.333981
5281510000	-81.6539756	-121.737948	-81.256163	-118.870539
5281520000	-81.4464122	-120.825972	-81.0182454	-117.417934
5281530000	-80.981716	-115.560625	-81.1482397	-121.882569
5281540000	-81.1158888	-113.060007	-81.2116713	-114.626088
5281550000	-81.5060483	-116.613201	-80.3320349	-113.964999
5281560000	-81.3901542	-115.553577	-81.3989114	-112.153919
5281570000	-81.3323164	-115.46174	-80.7957823	-114.973313
5281580000	-80.7050769	-115.863856	-80.7702057	-109.738158
5281590000	-81.0006279	-119.341482	-80.7793996	-111.016268
5281600000	-81.3048075	-116.90081	-80.8926413	-118.042936
5281610000	-80.6875279	-114.984125	-81.0812447	-112.824222
5281620000	-80.8216892	-115.588339	-80.8888561	-111.488051
5281630000	-81.0783141	-121.68185	-80.9931738	-110.32347
5281640000	-80.8750741	-114.347956	-81.0997351	-113.312755
5281650000	-80.6496318	-113.756496	-80.7248058	-113.336447
5281660000	-81.016875	-114.68719	-81.3353508	-111.731675
5281670000	-80.597311	-111.519639	-79.9839583	-115.789999
5281680000	-81.2682476	-116.689178	-81.3784261	-109.47741
5281690000	-80.2898081	-116.893402	-80.7249374	-113.141924
5281700000	-80.9058749	-119.852176	-80.9587231	-113.376321
5281710000	-80.0951597	-116.046605	-80.8783471	-109.767901
5281720000	-81.1475703	-112.131322	-81.0994125	-108.90421
5281730000	-80.5052228	-114.553578	-81.0536439	-112.5232
5281740000	-80.9224731	-108.833204	-80.5949333	-113.998281
5281750000	-79.4719674	-111.140272	-80.7057301	-107.921542
5281760000	-80.7195661	-112.191626	-80.5114276	-108.01113
5281770000	-80.8915516	-121.490505	-80.3407132	-115.258101
5281780000	-80.9980599	-109.127318	-80.9373022	-108.784977
5281790000	-80.7933131	-112.995412	-79.5078651	-110.651896
5281800000	-80.399697	-114.401654	-80.3212363	-110.842412
5281810000	-80.8014695	-109.767422	-80.0761224	-109.558817
5281820000	-79.9332725	-103.748344	-79.8963187	-104.922884
5281830000	-80.6367002	-108.876289	-80.1464743	-111.734325
5281840000	-80.8865844	-110.698451	-80.4302642	-109.129562
5281850000	-79.8640223	-108.033828	-80.3831148	-106.703299
5281860000	-80.5259378	-111.701458	-80.6215966	-108.486881
5281870000	-80.2217144	-105.82894	-80.3995307	-106.848758
5281880000	-79.6818279	-107.84471	-80.0280101	-109.279843
5281890000	-79.6909246	-111.431586	-79.9599733	-105.7176
5281900000	-79.5719861	-114.091068	-79.4206729	-107.189353
5281910000	-80.2422223	-109.244855	-79.9902018	-101.8736
5281920000	-79.8763521	-102.849276	-79.3277391	-104.763423
5281930000	-81.0089563	-109.429391	-79.989344	-106.535441
5281940000	-80.130566	-107.393259	-80.1413092	-107.973587
5281950000	-80.4666539	-104.915142	-80.4771448	-108.814114
5281960000	-79.8937486	-114.34661	-79.5456271	-106.681159
5281970000	-80.0080412	-109.336479	-79.921394	-101.937534
5281980000	-79.4069362	-105.284331	-80.3413591	-104.500021
5281990000	-80.2479593	-105.999392	-79.7421706	-102.417576
5282000000	-79.724456	-105.16726	-79.4429286	-99.8915917
5282010000	-79.7038637	-103.314589	-79.4598225	-103.014608
5282020000	-79.2334934	-107.261676	-79.3760639	-105.910583
5282030000	-79.034831	-106.968372	-80.3533272	-98.0118994
5282040000	-79.6407825	-105.581229	-79.2452681	-105.982001
5282050000	-79.9919481	-106.443112	-79.8098335	-98.6553348
5282060000	-78.3971998	-106.96615	-79.3402645	-99.8035801
5282070000	-79.259492	-107.68966	-79.2065675	-102.347051
5282080000	-79.3956835	-109.59187	-79.6981851	-99.9476227
5282090000	-79.7391618	-101.940362	-79.9215396	-104.004868
5282100000	-79.6303223	-107.216552	-79.3071302	-101.474875
5282110000	-79.8449908	-105.507465	-79.892041	-102.549839
5282120000	-79.5210688	-105.878157	-79.6699892	-100.40272
5282130000	-79.3342425	-103.790856	-79.1203451	-98.2047829
5282140000	-79.7372293	-108.142576	-79.3603463	-107.144564
5282150000	-79.042425	-107.042468	-78.2600782	-103.195876
5282160000	-79.5131013	-103.341202	-78.9401355	-105.14181
5282170000	-79.0949521	-106.356368	-79.2956319	-103.710392
5282180000	-78.8062811	-106.025832	-79.1507683	-99.0717714
5282190000	-79.8531159	-106.726765	-78.9119325	-100.7079
5282200000	-78.7930274	-106.288756	-78.8090314	-103.606087
5282210000	-78.3984531	-101.657002	-78.9951415	-99.3972367
5282220000	-79.1229502	-98.9785825	-79.7711743	-99.9541683
5282230000	-79.1351293	-99.0498006	-78.690391	-98.2507138
5282240000	-79.2158405	-100.720104	-79.8396064	-100.588567
5282250000	-78.9914901	-105.828357	-79.1311336	-97.7409416
5282260000	-79.1931787	-101.449161	-78.6020228	-97.8689655
5282270000	-78.9253902	-105.197927	-78.7905674	-101.298938
5282280000	-79.1367827	-101.880351	-78.5824251	-98.1328546
5282290000	-78.4862809	-101.987056	-79.1631009	-98.3975742
5282300000	-78.5893901	-100.202646	-78.6195484	-97.522389
5282310000	-77.9957236	-102.721921	-78.7226849	-98.4891701
5282320000	-79.1568537	-100.92643	-78.1808174	-98.92425
